shortname,parent_shortname,question_title,type
employment_status,,Which of the following best describes your employment and involvement in software development?,RADIO
job_role,,Which of the following best describe your job role(s) regardless of your position level?,CHECKBOX
position_level,,Which of the following best describes the level of your current position?,RADIO
activities_kinds,,In which kinds of activities are you involved?,CHECKBOX
data_role,,Which of the following best describe your job role?,CHECKBOX
code_yrs,,How many years of professional coding experience do you have?,RADIO
age_range,,What is your age range?,RADIO
country,,In which country or region do you currently reside?,MENU
gender,,What is your gender?,RADIO
company_size,,How many people work for your company / organization?,RADIO
company_coders,,What percentage of people in your company or organization write code (approximately)?,RADIO
company_sector,,Which of the following sectors is your company or organization primarily active in?,CHECKBOX
kind_of_dev,,Which kinds of development is your company or organization involved in?,CHECKBOX
company_type,,Which of the following best describe the company or organization you work for? Select all that apply.,CHECKBOX
team_size,,How many people work in your project team?,RADIO
os_devenv,,On which operating systems are your development environments?,CHECKBOX
platform,,On which platforms is your code executed?,CHECKBOX
sw_app_execution,,"Do you develop any applications? If so, where is the end-user application executed?",CHECKBOX
target_os,,Which desktop platforms do you target with your projects?,CHECKBOX
functionality,,Which specific functionality does your code implement?,CHECKBOX
sw_type,,"Which kinds of software, products, or services do you develop?",CHECKBOX
sw_website_types,,Which kinds of websites do you develop?,CHECKBOX
development_type,,What types of development are you involved in at work?,CHECKBOX
know_jb,,How familiar are you with JetBrains products?,RADIO
proglang,,Which programming languages have you used in the last 12 months?,CHECKBOX
primary_lang,,What are your primary programming languages? ,CHECKBOX
main_lang,,What is your main programming language?,RADIO
primary_lang_past,,What were your primary programming languages 12 months ago?,CHECKBOX
main_lang_past,,What was your main programming language 12 months ago?,RADIO
proglang_change_reasons,,Why has your main programming language changed since 12 months ago?,CHECKBOX
adopt_proglang,,"Do you plan to adopt or migrate to other languages in the next 12 months? If so, which ones?",CHECKBOX
platform_by_primary.Desktop,platform_by_primary,Desktop,CHECKBOX
platform_by_primary.Browser,platform_by_primary,Browser,CHECKBOX
platform_by_primary.WebAssembly,platform_by_primary,WebAssembly,CHECKBOX
platform_by_primary.Mobile,platform_by_primary,Mobile,CHECKBOX
"platform_by_primary.Console (Xbox, PlayStation, Nintendo, etc.)",platform_by_primary,"Console (Xbox, PlayStation, Nintendo, etc.)",CHECKBOX
platform_by_primary.Server / Infrastructure / Cloud,platform_by_primary,Server / Infrastructure / Cloud,CHECKBOX
platform_by_primary.IoT / Embedded,platform_by_primary,IoT / Embedded,CHECKBOX
platform_by_primary,,For which platforms do you use your primary languages?,TABLE
functionality_by_primary.Libraries / Frameworks,functionality_by_primary,Libraries / Frameworks,CHECKBOX
functionality_by_primary.Blockchain technology,functionality_by_primary,Blockchain technology,CHECKBOX
functionality_by_primary.User interface (handling user inputs and interactive elements),functionality_by_primary,User interface (handling user inputs and interactive elements),CHECKBOX
functionality_by_primary.Data processing and analytics,functionality_by_primary,Data processing and analytics,CHECKBOX
functionality_by_primary.System tools and components,functionality_by_primary,System tools and components,CHECKBOX
"functionality_by_primary.Security, encryption, and cryptographic protocols",functionality_by_primary,"Security, encryption, and cryptographic protocols",CHECKBOX
functionality_by_primary.Ad hoc scripts,functionality_by_primary,Ad hoc scripts,CHECKBOX
functionality_by_primary.Integrating with APIs and services,functionality_by_primary,Integrating with APIs and services,CHECKBOX
functionality_by_primary.Providing APIs and services,functionality_by_primary,Providing APIs and services,CHECKBOX
functionality_by_primary.Network communication protocols,functionality_by_primary,Network communication protocols,CHECKBOX
functionality_by_primary.Artificial intelligence and machine learning,functionality_by_primary,Artificial intelligence and machine learning,CHECKBOX
functionality_by_primary.Audio or video processing,functionality_by_primary,Audio or video processing,CHECKBOX
functionality_by_primary.Automating software testing and quality assurance,functionality_by_primary,Automating software testing and quality assurance,CHECKBOX
functionality_by_primary.Hardware interfacing and control systems,functionality_by_primary,Hardware interfacing and control systems,CHECKBOX
functionality_by_primary.Rendering and processing graphics (2D/3D),functionality_by_primary,Rendering and processing graphics (2D/3D),CHECKBOX
functionality_by_primary.Conducting simulations and predictive modeling,functionality_by_primary,Conducting simulations and predictive modeling,CHECKBOX
functionality_by_primary.Integration with AI,functionality_by_primary,Integration with AI,CHECKBOX
functionality_by_primary.Data science / Data analytics,functionality_by_primary,Data science / Data analytics,CHECKBOX
functionality_by_primary.Application logic and workflows,functionality_by_primary,Application logic and workflows,CHECKBOX
functionality_by_primary,,Which of the following do you develop in your primary languages?,TABLE
swtype_by_primary.Cloud services,swtype_by_primary,Cloud services,CHECKBOX
swtype_by_primary.Augmented reality / Virtual reality,swtype_by_primary,Augmented reality / Virtual reality,CHECKBOX
swtype_by_primary.Entertainment,swtype_by_primary,Entertainment,CHECKBOX
swtype_by_primary.Finance,swtype_by_primary,Finance,CHECKBOX
swtype_by_primary.Games,swtype_by_primary,Games,CHECKBOX
"swtype_by_primary.Mini-apps (within WeChat, Alipay, etc.)",swtype_by_primary,"Mini-apps (within WeChat, Alipay, etc.)",CHECKBOX
"swtype_by_primary.Development tools (IDEs, databases, frameworks, programming languages, etc.)",swtype_by_primary,"Development tools (IDEs, databases, frameworks, programming languages, etc.)",CHECKBOX
swtype_by_primary.Hardware,swtype_by_primary,Hardware,CHECKBOX
swtype_by_primary.Home automation,swtype_by_primary,Home automation,CHECKBOX
swtype_by_primary.IT infrastructure,swtype_by_primary,IT infrastructure,CHECKBOX
swtype_by_primary.Rendering and visualization,swtype_by_primary,Rendering and visualization,CHECKBOX
swtype_by_primary.Security,swtype_by_primary,Security,CHECKBOX
swtype_by_primary.System software,swtype_by_primary,System software,CHECKBOX
swtype_by_primary.Websites,swtype_by_primary,Websites,CHECKBOX
swtype_by_primary.Web services (without a GUI),swtype_by_primary,Web services (without a GUI),CHECKBOX
swtype_by_primary.Business applications,swtype_by_primary,Business applications,CHECKBOX
swtype_by_primary.Analytical software,swtype_by_primary,Analytical software,CHECKBOX
swtype_by_primary,,"Which languages do you use to develop each of the following kinds of software, products, and services?",TABLE
ides,,Which IDEs or editors do you regularly use?,CHECKBOX
ide_main,,Which IDE or editor do you primarily use?,RADIO
past_ides,,Which IDEs or editors did you regularly use 12 months ago?,CHECKBOX
main_ide_past,,Which IDE or editor did you use the most 12 months ago?,RADIO
ide_change_reasons,,Why has your main IDE / editor changed in the last 12 months?,CHECKBOX
edu_tools_adviced,,Which of the following tools have your teachers or professors advised you to use?,CHECKBOX
ide_paid_opinion,,Which of the following statements describes your opinion on adopting paid IDEs or code editors?,CHECKBOX
usage_ai_coding,,Which of these AI tools do you <strong>regularly use</strong> for coding and other development-related activities? [% out of this question responders; see Survey logic doc for more details on logic of this question and answer options],CHECKBOX
ai_agents_try,,How likely are you to try AI coding agents in the next 12 months?,RADIO
ai_agents_company_try,,"In your opinion, how likely is your company to try AI coding agents in the next 12 months?",RADIO
